Fecha y hora;Departamento;Jurisdicción ;Vehículo;Edad;Sexo;Fallecido a los (Días);Tipo de Siniestro;Otro vehículo;Lugar del Siniestro
17/02/2012 09:45;ARTIGAS;DEPARTAMENTAL;MOTO;19;M;1;COLISION ENTRE VEHICULOS;CAMION;CARLOS LECUEDER  esq. AMARO FERREIRA RAMOS
17/02/2012 16:30;RIVERA;NACIONAL;BICICLETA;13;M;3;COLISION ENTRE VEHICULOS;CAMIONETA;SARANDI esq. BRASIL
17/02/2012 17:00;CANELONES;DEPARTAMENTAL;MOTO;14;F;0;COLISION ENTRE VEHICULOS;AUTO;ELIAS REGULES esq. ECUADOR
17/02/2012 17:00;CANELONES;DEPARTAMENTAL;MOTO;16;M;0;COLISION ENTRE VEHICULOS;AUTO;ELIAS REGULES esq. ECUADOR
18/02/2012 02:55;SAN JOSE;NACIONAL;PEATON;52;M;0;ATROPELLO DE PEATON;CAMIONETA;RUTA 1 KM 31,500
18/02/2012 12:55;SALTO;DEPARTAMENTAL;BICICLETA;64;M;3;COLISION ENTRE VEHICULOS;MOTO;AV. BARBIERI Y VIERA
19/02/2012 17:45;MONTEVIDEO;DEPARTAMENTAL;PEATON;81;F;1;ATROPELLO DE PEATON;CAMIONETA;JOSE L. TERRA Y CONCEPCION ARENAL
20/02/2012 07:40;ROCHA;NACIONAL;PEATON;16;M;0;ATROPELLO DE PEATON;AUTO;RUTA 10 - BALNEARIO LA PEDRERA
21/02/2012 06:20;SAN JOSE;NACIONAL;MOTO;55;M;0;COLISION ENTRE VEHICULOS;OMNIBUS;RUTA 1 KM. 47
24/02/2012 03:30;CANELONES;DEPARTAMENTAL;MOTO;34;M;0;COLISION ENTRE VEHICULOS;CAMION;SENDA D 
24/02/2012 09:30;RIVERA;DEPARTAMENTAL;AUTO;82;F;0;DESPISTE;-;SARANDI  esq. BRASIL
24/02/2012 15:20;MONTEVIDEO;DEPARTAMENTAL;BICICLETA;29;M;0;COLISION ENTRE VEHICULOS;CAMION;CAMINO BAJO DE LA PETISA  esq. CAMINO BUFFA
25/02/2012 00:28;MONTEVIDEO;DEPARTAMENTAL;MOTO;27;M;1;COLISION ENTRE VEHICULOS;CAMIONETA;EMILIO CASTELAR esq. ROBERTO BERRO
25/02/2012 10:05;COLONIA;DEPARTAMENTAL;BICICLETA;53;M;1;COLISION ENTRE VEHICULOS;MOTO;JOSE SALVO Y RIVERA - LACAZE
25/02/2012 16:35;RIVERA;DEPARTAMENTAL;AUTO;53;M;0;COLISION ENTRE VEHICULOS;AUTO;SARANDI esq. BRASIL
25/02/2012 23:30;SALTO;DEPARTAMENTAL;BICICLETA;20;F;1;COLISION ENTRE VEHICULOS;AUTO;MANUEL ORIBE Y OFICIAL 1
26/02/2012 00:30;CANELONES;DEPARTAMENTAL;MOTO;18;F;1;COLISION ENTRE VEHICULOS;AUTO;AVENIDA INGENIERO LUIS GIANNATTASIO esq. AVENIDA PEREZ BUTLER
27/02/2012 06:30;COLONIA;NACIONAL;AUTO;Sin Dato;F;0;DESPISTE;-;RUTA 1 KM 169
29/02/2012 00:45;PAYSANDU;NACIONAL;BICICLETA;47;M;0;COLISION ENTRE VEHICULOS;CAMION;RUTA 3 KM. 378
29/02/2012 04:05;MONTEVIDEO;DEPARTAMENTAL;MOTO;20;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;RIVERA INDARTE esq. DOCTOR MARTIN BERINDUAGUE
29/02/2012 22:05;MALDONADO;DEPARTAMENTAL;AUTO;46;F;1;COLISION ENTRE VEHICULOS;CAMIONETA;BOULEVARD ARTIGAS esq. SIN NOMBRE
02/03/2012 19:25;FLORES;NACIONAL;AUTO;58;M;1;COLISION ENTRE VEHICULOS;CAMION;RUTA 3 PUENTE EL JUNCAL
02/03/2012 19:30;SALTO;DEPARTAMENTAL;PEATON;86;M;1;ATROPELLO DE PEATON;MOTO;SOCA Y DIEGO LAMAS
02/03/2012 22:25;MONTEVIDEO;DEPARTAMENTAL;BICICLETA;12;M;0;COLISION ENTRE VEHICULOS;MOTO;AMEGHINO Nro. 5002 esq. SERGIPE
03/03/2012 00:00;SALTO;DEPARTAMENTAL;MOTO;42;M;5;COLISION ENTRE VEHICULOS;MOTO;COSTANERA Y CERVANTES
03/03/2012 08:00;MALDONADO;DEPARTAMENTAL;AUTO;20;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;BOULEVARD ARTIGAS esq. LOUVRE
