Fecha y hora;"Departamento";"Localidad";"Jurisdiccion ";"Tipo de Siniestro";"Vehiculo";"Rol";Edad;"Sexo";Fallecido a los Dias;"Otro vehiculo";"Lugar del Siniestro";"X";"Y"
29/12/2018 07:00:00;"CANELONES";"LA PAZ";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";18;"M";1;"CAMION";"JUAN ZORRILLA DE SAN MARTIN ESQ. PEDRO ROSA GIFFUNI";"570856.2385";"6153191.165"
30/12/2018 21:32:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";69;"F";1;"OMNIBUS";"MAGALLANES ESQ. GALICIA";"574690.6628";"6137919.3052"
31/12/2018 07:20:00;"LAVALLEJA";"AGUAS BLANCAS";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";52;"F";0;"CAMIONETA";"RUTA 8 KM 92;000";"642073.37";"6182165.01"
31/12/2018 10:30:00;"SALTO";"SALTO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";81;"M";1;"CAMIONETA";"AVENIDA MANUEL ORIBE ESQ. YARO";"413492.43543493";"6527064.33981495"
31/12/2018 18:07:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";43;"F";1;"CAMIONETA";"AVENIDA JOAQUIN SUAREZ ESQ. BOULEVARD GENERAL ARTIGAS";"573428.0693";"6140871.6724"
31/12/2018 18:07:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";55;"M";0;"CAMIONETA";"AVENIDA JOAQUIN SUAREZ ESQ. BOULEVARD GENERAL ARTIGAS";"573428.0693";"6140871.6724"
13/12/2018 16:30:00;"CANELONES";"VILLA ANITA";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";69;"M";1;"AUTO";"RUTA 8 KM 27.500";"592618.61";"6154885.31"
17/12/2018 10:00:00;"MALDONADO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"CAMIONETA";"PASAJERO";65;"F";13;"AUTO";"RUTA 9 KM 176;000";"723911.12";"6160101.88"
18/12/2018 18:40:00;"MALDONADO";"PIRIAPOLIS";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";24;"M";12;;"DOCTOR FRANCISCO SOCA ESQ. RAMBLA DE LOS INGLESES";"657290.57832907";"6138529.79837361"
24/12/2018 16:00:00;"MALDONADO";"MALDONADO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";42;"M";11;"AUTO";"AVENIDA ANTONIO LUSSICH ESQ. MESINA";"685771.9312";"6136258.8433"
25/12/2018 02:20:00;"CANELONES";"EL GALEON";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";46;"M";4;;"AVENIDA CENTRAL";"638501.71524882";"6148923.21473336"
31/12/2018 21:00:00;"CERRO LARGO";"N/C";"NACIONAL";"DESPISTE";"MOTO";"CONDUCTOR";51;"M";3;;"RUTA 8 KM 374;000";"769342.35";"6396733.35"
30/12/2018 22:25:00;"MALDONADO";"SAN CARLOS";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";78;"M";13;"AUTO";"RECONQUISTA ESQ. RINCON";"689544.8862";"6147722.0407"
23/08/2018 20:50:00;"MALDONADO";"SAN CARLOS";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"PASAJERO";86;"F";17;"AUTO";"GENERAL JOSE G. ARTIGAS --EX COSTANERA-- ESQ. VEINTICINCO DE AGOSTO";"691453.685";"6148102.8365"
21/09/2018 12:35:00;"ROCHA";"CHUY";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";66;"M";0;"AUTO";"BRASIL ESQ. TITO FERNANDEZ";"829063.584";"6266220.111"
