FECHA Y HORA;DEPARTAMENTO;LOCALIDAD;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (Dias);OTRO VEHICULO;LUGAR DEL SINIESTRO;X;Y
19/01/2014 01:40;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;M;0;MOTO;MATILDE PACHECO DE BATLLE Y ORDOÑEZ esq. AZOTEA DE LIMA;577941,541;6146238,188
19/01/2014 01:40;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;M;0;MOTO;MATILDE PACHECO DE BATLLE Y ORDOÑEZ esq. AZOTEA DE LIMA;577941,541;6146238,188
19/01/2014 18:30;ARTIGAS;N/C;NACIONAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;20;M;0;;RUTA 4 esq. RUTA 30;548008,7313;6633753,31
19/01/2014 23:30;CANELONES;N/C;NACIONAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;19;M;1;;RUTA 64 km. 4,900;569392,9282;6181146,333
20/01/2014 01:00;CANELONES;OLMOS;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;17;M;0;CAMIONETA;RUTA 8 VIEJA esq. CALLE A;597815,194;6159794,639
21/01/2014 16:30;MONTEVIDEO;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;62;M;0;CAMION;RUTA 5 esq. CAMINO REYLES (ROTONDA);566329,1447;6150982,818
23/01/2014 19:40;CANELONES;LAGOMAR;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;56;M;1;OMNIBUS;AVENIDA SECCO GARCIA esq. AVENIDA INGENIERO LUIS GIANNATTASIO;593539,9739;6145106,106
24/01/2014 18:05;RIO NEGRO;FRAY BENTOS;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;86;M;1;CAMIONETA;ROBERTO YOUNG esq. RICARDO B. HUGHES;378508,6587;6334852,204
24/01/2014 22:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;19;M;0;;CAMINO MALDONADO esq. MILAN;580474,5822;6144479,934
25/01/2014 17:00;ROCHA;CASTILLOS;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;42;F;1;MAQUINARIA;19 DE ABRIL esq. AV. BRASIL;790348,2347;6211549,716
25/01/2014 22:25;SORIANO;DOLORES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;25;M;1;CAMIONETA;SORIANO esq. JOSE ENRIQUE RODO;386637,1972;6289364,314
25/01/2014 23:18;CANELONES;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;66;M;0;;RUTA INTERBALNEARIA km. 46,500;614067,2808;6152243,253
26/01/2014 06:00;SALTO;SALTO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;24;M;11;AUTO;BRASIL esq. DOCTOR ARREGUI;409912,031;6526984,728
26/01/2014 09:00;TACUAREMBO;TACUAREMBO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;47;M;1;AUTO;PABLO G. RIOS esq. T. PEÑA;596904,2506;6489987,411
26/01/2014 18:00;ROCHA;PUNTA DEL DIABLO;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;27;F;0;OMNIBUS;RUTA 9 km. 301;815145,4068;6229562,003
26/01/2014 18:00;ROCHA;PUNTA DEL DIABLO;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;21;F;0;OMNIBUS;RUTA 9 km. 301;815145,4068;6229562,003
28/01/2014 14:10;SAN JOSE;N/C;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;25;M;0;CAMION;RUTA 11 km. 53,800;529298,1636;6199583,758
29/01/2014 13:45;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;31;F;0;OMNIBUS;GOBERNADOR VIANA esq. ASILO;578493,5147;6140348,193
30/01/2014 22:30;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;33;M;19;CAMIONETA;BOULEVARD JOSE BATLLE Y ORDOÑEZ esq. MARNE;576202,391;6141572,293
31/01/2014 22:00;SAN JOSE;N/C;NACIONAL;CAIDA;MOTO;CONDUCTOR;55;M;1;;RUTA 11 km. 57,600;532507,5821;6198698,31
01/02/2014 03:40;SORIANO;N/C;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;26;M;0;AUTO;RUTA 2 km. 184;463749,1916;6252175,63
02/02/2014 16:46;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;37;M;1;;CAMINO CASAVALLE esq. DOCTOR TEOFILO DIAZ;571068,0835;6147637,223
03/02/2014 20:00;ROCHA;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;60;F;1;;RUTA 9 km. 223;760355,9487;6185744,332
05/02/2014 07:05;MALDONADO;PLAYA GRANDE;NACIONAL;CAIDA;MOTO;CONDUCTOR;46;M;1;;RUTA 10 km. 95;655121,6716;6142049,834
06/02/2014 11:30;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;41;M;0;OMNIBUS;AVENIDA LUIS BATLLE BERRES esq. GENERAL SANTIAGO ARTIGAS;566910,5633;6144747,794
07/02/2014 16:00;SALTO;SALTO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;59;M;0;;AVENIDA DEFENSA esq. AVENIDA JOSE BATLLE Y ORDOÑEZ;413668,9173;6527062,831
08/02/2014 05:00;MALDONADO;MALDONADO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;M;8;AUTO;VEINTICINCO DE MAYO esq. JOSE DODERA;686393,2191;6135119,408
08/02/2014 12:45;CANELONES;LA PAZ;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;25;M;1;AUTO;CAMINO ALDABALDE esq. TISCORNIA;570172,4709;6153892,092
10/02/2014 21:40;CANELONES;LAS PIEDRAS;DEPARTAMENTAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;24;M;1;;AVENIDA GENERAL FRUCTUOSO RIVERA esq. AVENIDA GENERAL FLORES;571784,9593;6156841,64
11/02/2014 17:32;MONTEVIDEO;MONTEVIDEO;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;71;M;0;CAMION;RUTA 1 km. 22;559054,375;6150187,527
14/02/2014 13:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;50;M;1;AUTO;MATAOJO esq. TABOBA;580350,4576;6139296,733
16/02/2014 04:55;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;28;M;0;;AVENIDA DOCTOR CARLOS MARIA RAMIREZ esq. VIGO;568743,4728;6140703,719
17/02/2014 03:50;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;DESPISTE;AUTO;PASAJERO;15;M;0;;AVENIDA ITALIA esq. CATANIA;583590,0073;6139515,818
17/02/2014 03:50;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;N;M;0;;AVENIDA ITALIA esq. CATANIA;583590,0073;6139515,818
17/02/2014 05:50;CANELONES;TOLEDO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;21;M;1;MOTO;CALLE 16 esq. CALLE 16;585013,2835;6152595,489
17/02/2014 10:30;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;57;M;1;AUTO;CAMINO CARMELO COLMAN esq. PORORO;569899,8812;6149696,218
18/02/2014 12:30;CANELONES;BARRA DE CARRASCO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;CAMIONETA;CONDUCTOR;N;M;1;CAMIONETA;ACAPULCO esq. RAMBLA COSTANERA;589761,9397;6140704,616
18/02/2014 16:45;MONTEVIDEO;MONTEVIDEO;NACIONAL;DESPISTE;MOTO;CONDUCTOR;46;M;0;;RUTA 6 km. 21 esq. CAMINO DE LAS TROPAS --TOLEDO--;581443,7546;6153765,603
18/02/2014 19:55;CANELONES;PANDO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;38;M;1;CAMIONETA;RUTA OCHO VIEJA km. 35.000 y Edy Arquim;594939,3409;6158227,87
19/02/2014 20:10;CANELONES;N/C;NACIONAL;CAIDA;BICICLETA;CONDUCTOR;41;F;0;;RUTA 8 km. 22,500;588741,6815;6151820,387
20/02/2014 06:35;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;21;M;0;CAMIONETA;AVENIDA LEZICA esq. NIÑA;571080,0437;6148354,783
