Fechayhora;"Departamento";"Localidad";"Jurisdiccion ";"TipodeSiniestro";"Vehiculo";"Rol";Edad;"Sexo";FallecidoalosDias;"Otrovehiculo";"LugardelSiniestro";"X";"Y"
2019-03-11 19:33:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";60;"F";1;"MOTO";"AMEGHINO ESQ. CALLE CUATRO";"569114.3096";"6143128.1524"
2019-03-12 13:50:00;"SAN JOSE";"N/C";"NACIONAL";"DESPISTE";"AUTO";"CONDUCTOR";75;"M";0;;"RUTA 3 KM 100;000";"527286.71";"6207334.42"
2019-03-13 00:56:00;"CANELONES";"N/C";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";67;"M";0;"AUTO";"RUTA 5 KM 21;000";"568526.43";"6155549.41"
2019-03-13 14:34:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";63;"M";0;"AUTO";"MARIO ARREGUI ESQ. AVENIDA MILLAN";"569363.2981";"6146353.8405"
2019-03-13 20:42:00;"CANELONES";"LAS PIEDRAS";"DEPARTAMENTAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";57;"M";14;"AUTO";"DOCTOR POUEY ESQ. CANELONES";"571069.5794";"6157331.8521"
2019-03-16 07:05:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";21;"M";0;;"FARAMIÑAN ESQ. CAMINO GENERAL HORNOS";"569821.0468";"6144453.1326"
2019-03-16 07:19:00;"CERRO LARGO";"N/C";"NACIONAL";"DESPISTE";"CAMIONETA";"CONDUCTOR";67;"M";0;;"RUTA 26 KM 3;500";"770197.86";"6414013.37"
2019-03-17 17:43:00;"CANELONES";"SALINAS";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"PASAJERO";15;"M";1;"AUTO";"RUTA INTERBALNEARIA KM 37;000";"604788.68";"6151057.23"
2019-03-17 20:20:00;"FLORES";"N/C";"NACIONAL";"DESPISTE";"CAMIONETA";"CONDUCTOR";46;"M";0;;"RUTA 3 KM 209;000";"497510.88";"6303136.04"
2019-03-18 22:13:00;"SAN JOSE";"RAFAEL PERAZZA";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";71;"M";1;"BICICLETA";"RUTA 1 km. 73 padrón M-B3000372";"518054.56";"6179587.39"
2019-03-19 11:16:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"OMNIBUS";"PASAJERO";68;"F";9;"OMNIBUS";"AVENIDA AGRACIADA ESQ. JUAN ANTONIO ARTIGAS";"571421.6682";"6142480.5708"
2019-03-20 12:00:00;"PAYSANDU";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";36;"M";0;"CAMIONETA";"RUTA 26 KM 197;900";"568948.46";"6479767.86"
2019-03-20 15:20:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";42;"M";0;"MOTO";"YUGOSLAVIA ESQ. EMANCIPACION";"569471.963";"6144486.1276"
2019-03-22 21:28:00;"CANELONES";"VILLA ARGENTINA";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";44;"M";0;"CAMIONETA";"RUTA INTERBALNEARIA KM 44.5";"612136.75";"6152053.09"
2019-03-23 20:40:00;"SORIANO";"N/C";"DEPARTAMENTAL";"DESPISTE";"CAMIONETA";"CONDUCTOR";18;"M";0;;"CAMINO PASO DE RAMOS";"390163.93700995";"6286504.86533917"
2019-03-23 15:05:00;"TACUAREMBO";"TACUAREMBO";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";69;"M";24;;"TABARE padrón R- esq. INTENDENTE OLIVER";"594395.1788";"6491555.6822"
2019-03-24 00:20:00;"COLONIA";"CARMELO";"DEPARTAMENTAL";"CAÍDA";"MOTO";"CONDUCTOR";21;"M";1;;"DOCTOR EDUARDO IRASTORZA Nro. 1 padrón L-5727 esq. CALLE 21";"380765.6372";"6239255.7705"
2019-03-24 19:06:00;"TACUAREMBO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";41;"F";0;"AUTO";"RUTA 5 KM 266;000";"548088.09";"6384769.34"
2019-03-24 19:06:00;"TACUAREMBO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";46;"M";0;"AUTO";"RUTA 5 KM 266;000";"548088.09";"6384769.34"
2019-03-24 21:22:00;"MALDONADO";"PIRIAPOLIS";"DEPARTAMENTAL";"CAÍDA";"MOTO";"CONDUCTOR";25;"M";1;;"GENERAL JOSE G. ARTIGAS ESQ. GENERAL ALVEAR";"657481.1493829";"6141854.31843657"
2019-03-25 11:30:00;"CANELONES";"PARQUE DEL PLATA";"DEPARTAMENTAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";0;"M";1;"MOTO";"CALLE C ESQ. CALLE 9";"616889.3074";"6152369.8992"
2019-03-28 09:31:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";73;"M";1;"CAMIONETA";"AVENIDA GENERAL FLORES ESQ. COLORADO";"574930.9488";"6140256.6472"
2019-03-30 02:40:00;"MALDONADO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";38;"F";0;"OMNIBUS";"RUTA 93 KM 107;000";"667821.58";"6141323.7"
2019-03-30 14:55:00;"MALDONADO";"MALDONADO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";28;"M";1;"CAMIONETA";"BOULEVARD GENERAL JOSE G. ARTIGAS ESQ. FRANCISCO MARTINEZ";"687192.3264";"6136784.2708"
2019-03-31 02:21:00;"SORIANO";"DOLORES";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";10;"M";1;"AUTO";"ELENA BARROS ESQ. MISIONES";"386300.9311";"6289533.8633"
2019-03-31 21:45:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";50;"M";0;"CAMIONETA";"RUTA 5 KM 13.500";"567245.2";"6148959.58"
2019-04-01 06:43:00;"CANELONES";"SALINAS";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";26;"M";0;"CAMIONETA";"RUTA 87 KM 47;800";"605706.01";"6153299.45"
2019-04-01 10:20:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";54;"M";1;"CAMION";"RUTA 1 KM 2;700";"570023.97204333";"6140863.19652999"
2019-04-01 20:30:00;"ARTIGAS";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";57;"M";0;"TRACTOR";"RUTA 30 KM 146 padrón G-1397";"555225.52";"6620398.32"
