FECHA Y HORA;DEPARTAMENTO;LOCALIDAD;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (DIAS);OTRO VEHICULO;LUGAR DEL SINIESTRO;X;Y
23/02/2015 09:45;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;86;M;0;AUTO;AVENIDA GENERAL FLORES esq. CONSULADO;575533,4887;6141159,899
19/02/2015 14:45;MALDONADO;N/C;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;66;F;0;;RUTA 39 km. 68,600;703060,9557;6194258,891
24/02/2015 06:00;SAN JOSE;N/C;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;72;M;0;CAMIONETA;RUTA 11 km. 18;498666,3045;6200206,899
24/02/2015 13:10;PAYSANDU;PAYSANDU;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;41;M;3;AUTO;TREINTA Y TRES ORIENTALES esq. LARRA¥AGA;397918,0876;6424657,195
24/02/2015 21:40;CERRO LARGO;N/C;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;52;F;0;CAMIONETA;RUTA 7 Km 313,500;715950,163;6368884,491
25/02/2015 13:00;CANELONES;CANELONES;DEPARTAMENTAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;65;M;0;;TREINTA Y TRES esq. MARIA STAGNERO DE MUNAR;565999,1478;6179817,704
26/02/2015 08:30;ROCHA;N/C;DEPARTAMENTAL;DESPISTE;CAMIONETA;PASAJERO;59;M;1;;CAMINO EL CHIMANGO;760307,1184;6262292,616
27/02/2015 22:50;CANELONES;CIUDAD DE LA COSTA;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;67;F;6;;ARIEL esq. JOSE ENRIQUE RODO;594463,9013;6144607,53
02/03/2015 19:50;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;87;M;0;AUTO;RAMBLA REPUBLICA DE FRANCIA esq. ZABALA;572555,6788;6136589,711
02/03/2015 14:30;CANELONES;N/C;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;10;M;1;CAMIONETA;RUTA 12 KM. 95;626731,9425;6198823,181
05/03/2015 11:45;CANELONES;PROGRESO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;90;M;4;MOTO;AVENIDA JOSE ARTIGAS esq. ARAUCARIA;570807,587;6164345,181
05/03/2015 11:50;COLONIA;CARMELO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;30;M;0;CAMION;DOCTOR EDUARDO IRASTORZA esq. TREINTA Y TRES;380440,6199;6237454,965
05/03/2015 06:30;CANELONES;PANDO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;25;F;1;CAMION;RUTA 75 esq. VENEZUELA;594741,5236;6159096,066
07/03/2015 19:16;CANELONES;N/C;NACIONAL;CAIDA;MOTO;CONDUCTOR;25;M;0;;RUTA 81 km. 4;558039,9124;6187532,657
08/03/2015 21:14;CANELONES;PASO DE CARRASCO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;19;F;0;AUTO;AVENIDA WILSON FERREIRA ALDUNATE esq. AVENIDA DEL LAGO;586640,3565;6141936,063
09/03/2015 11:40;CERRO LARGO;MELO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;68;F;1;MOTO;DIECIOCHO DE JULIO esq. JOSE ENRIQUE RODO;766554,8451;6415368,751
