FECHA Y HORA;DEPARTAMENTO;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (DIAS);OTRO VEHICULO;DIRECCION;X;Y
29/01/2017 12:00;CERRO LARGO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;PASAJERO;32;F;1;MOTO;CARRETERA SAN DIEGO ESQ. SEVERIANO GIL;772062,1262;6460066,481
29/01/2017 15:30;COLONIA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;PASAJERO;94;F;1;AUTO;RUTA 1 KM 118,000;479035,33;6200058,17
01/02/2017 00:00;COLONIA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;87;M;0;CAMION;RUTA 21 INTERSECCION RUTA 55;409831,3897;6223151,766
02/02/2017 15:45;CERRO LARGO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;27;M;0;CAMIONETA;RUTA 7 KM 340,000;725829,7212;6388534,124
03/02/2017 21:59;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;55;M;1;AUTO;CAMINO CARRASCO ESQ. SANTA MONICA;585861,5919;6141296,386
04/02/2017 05:40;CANELONES;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;59;M;0;MOTO;GENERAL ARTIGAS (EX. RUTA 5) KM. 27,500;571816,2524;6162873,449
04/02/2017 18:50;SALTO;NACIONAL;DESPISTE;AUTO;CONDUCTOR;19;M;0;;RUTA 31 KM. 13,000;423689,35;6527815,33
06/02/2017 11:30;CANELONES;NACIONAL;DESPISTE;MOTO;CONDUCTOR;37;M;1;;RUTA 8 KM 26,900;592138,31;6154533,38
06/02/2017 21:00;ARTIGAS;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;37;M;0;CAMIONETA;RUTA 4 KM. 131,000;515771,3156;6575472,946
08/02/2017 16:03;MONTEVIDEO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;22;M;0;CAMION;RUTA 5 KM 13,000;567436,04;6148367,63
08/02/2017 13:15;COLONIA;DEPARTAMENTAL;CAÍDA;MOTO;CONDUCTOR;52;M;1;;DAVID EVANS ESQ. LUIS GIL;404826,1025;6219464,815
10/02/2017 14:40;CANELONES;NACIONAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;70;F;9;AUTO;RUTA 8 KM 24,500;590258,74;6153044,32
10/02/2017 17:00;SALTO;NACIONAL;DESPISTE;AUTO;PASAJERO;50;M;1;;RUTA 4 KM 115,000;504876,8105;6560323,933
12/02/2017 10:00;FLORES;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;53;M;0;CAMION;RUTA 3 KM 164,000;518428,79;6268096,06
16/02/2017 14:30;RIVERA;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;37;M;0;;RUTA 5 KM 459,000;627972,15;6542763,06
16/02/2017 14:30;RIVERA;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;59;F;0;;RUTA 5 KM 459,000;627972,15;6542763,06
16/02/2017 14:10;TACUAREMBO;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;42;F;0;;RUTA 5 KM 410,000;612042,14;6503355,39
17/02/2017 10:15;SAN JOSE;NACIONAL;CAÍDA;MOTO;PASAJERO;47;F;0;CAMION;RUTA 1 KM 122,000;514905,73;6203237,27
17/02/2017 23:30;CANELONES;NACIONAL;DESPISTE;AUTO;CONDUCTOR;45;M;1;;RUTA 33 KM 55,000;584142,96;6187097,92
18/02/2017 06:55;MONTEVIDEO;NACIONAL;DESPISTE;MOTO;CONDUCTOR;26;M;0;;RUTA 6 KM 19,200;580581,91;6152715,09
18/02/2017 06:55;MONTEVIDEO;NACIONAL;DESPISTE;MOTO;PASAJERO;23;M;0;;RUTA 6 KM 19,200;580581,91;6152715,09
19/02/2017 05:15;CERRO LARGO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;25;M;0;CAMION;CAMINO DE LAS DILIGENCIAS CASI AVENIDA DE LAS AMÉRICAS;766033,2536;6415869,611
19/02/2017 16:55;CANELONES;NACIONAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;50;M;0;AUTO;RUTA 7 KM 54,000;604545,8161;6177608,667
19/02/2017 22:00;CANELONES;NACIONAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;37;M;1;AUTO;RUTA INTERBALNEARIA KM 27,000;595586,24;6148232,83
20/02/2017 10:05;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;29;M;1;CAMION;ANDRES LATORRE ESQ. MARCOS SASTRE;579446,5812;6142175,132
20/02/2017 21:45;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;BICICLETA;CONDUCTOR;34;M;0;AUTO;BOULEVARD JOSE BATLLE Y ORDOÑEZ ESQ. MARISCAL FOCH;573876,2712;6143923,464
23/02/2017 06:00;CANELONES;NACIONAL;DESPISTE;MOTO;CONDUCTOR;33;M;0;;RUTA 107 KM 6,500;580415,27;6169551,22
25/02/2017 04:30;MALDONADO;DEPARTAMENTAL;CAÍDA;MOTO;CONDUCTOR;23;M;0;;AREQUITA ESQ. CUCHILLA DE LA INDIA MUERTA;684834,129;6138139,268
25/02/2017 05:15;SAN JOSE;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;18;M;0;;RUTA 11 KM. 72,600;545407,87;6191536,25
25/02/2017 09:00;PAYSANDU;NACIONAL;DESPISTE;CAMION;PASAJERO;33;M;2;;RUTA 26 KM. 36,300;421100,07;6450252,44
25/02/2017 22:53;CANELONES;NACIONAL;DESPISTE;AUTO;CONDUCTOR;51;M;3;;RUTA 65 KM. 75,500;594343,04;6195971,63
26/02/2017 18:00;SALTO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;80;M;11;MOTO;GRITO DE ASENCIO Y SILVESTRE BLANCO;408462,2441;6528677,473
27/02/2017 03:37;RIO NEGRO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;19;M;5;MOTO;ESPAÑA ESQ. C. ALZAIBAR;378910,5825;6333353,333
27/02/2017 02:15;TACUAREMBO;DEPARTAMENTAL;DESPISTE;MOTO;PASAJERO;14;M;2;;JUAN DOMINGO ARENA ESQ. PAUL DE SANTANDREU;597762,1613;6489419,176
27/02/2017 07:10;SALTO;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;19;F;0;;RUTA 3 KM. 495,000;418317,75;6531769,14
02/03/2017 20:42;CANELONES;NACIONAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;7;F;1;AUTO;RUTA INTERBALNEARIA KM. 35,600;602829,76;6150671,53
03/03/2017 05:20;SAN JOSE;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;47;M;1;MOTO;RUTA 1 KM. 39,000;545051,87;6159729,18
03/03/2017 15:32;CANELONES;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;78;M;0;;RUTA 11 KM. 96,200;564307,26;6179751,77
04/03/2017 06:58;TACUAREMBO;DEPARTAMENTAL;CAIDA;MOTO;PASAJERO;23;M;24;;LUIS BATLLE BERRES ESQ. ADELAIDA PUYOL;545595,1012;6369415,042
04/03/2017 06:30;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;46;M;1;CAMIONETA;DOCTOR WASHINGTON BELTRAN ESQ. AYACUCHO;578365,1446;6138475,294
04/03/2017 06:57;COLONIA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;20;M;0;CAMION;RUTA 21;421699,8462;6198081,638
04/03/2017 09:40;CANELONES;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;76;M;3;AUTO;RUTA INTERBALNEARIA KM. 63;629751,62;6152004,12
04/03/2017 21:40;FLORES;NACIONAL;CAÍDA;MOTO;PASAJERO;18;F;1;;RUTA 14 KM. 155,000;525571,03;6297706,95
05/03/2017 21:15;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;76;F;2;MOTO;AVENIDA JOSE BELLONI ESQ. HUNGRIA;578628,6262;6145005,917
06/03/2017 08:15;TACUAREMBO;NACIONAL;DESPISTE;AUTO;CONDUCTOR;74;M;1;;RUTA 5 KM. 353,000;589358,32;6457401,08
06/03/2017 20:00;CANELONES;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;65;F;0;TRACTOR;RUTA 81 KM 48,000;599703,4022;6187677,671
09/03/2017 20:05;COLONIA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;37;M;0;MOTO;RUTA 1 KM. 121,000;476061,98;6200522,75
09/03/2017 18:25;COLONIA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;66;M;0;CAMION;RUTA 12 KM. 3;375520,53;6250195,34
