Fecha y hora;Departamento;Jurisdicci®n ;Tipo de siniestro;VehÐculo;Rol;Edad;Sexo;Fallecido a los (DÐas);Otro vehÐculo;Lugar del Siniestro
31/07/2013 17:25;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;85;F;3;AUTO;AVENIDA MILLAN esq. LAS VIOLETAS
31/07/2013 18:35;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;68;F;4;MOTO;VEINTIUNO DE SETIEMBRE esq. INGENIERO LUIS FRANZINI
31/07/2013 22:22;SORIANO;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;20;F;0;CAMION;RUTA 2 km. 279,5
01/08/2013 15:40;MALDONADO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;37;M;1;CAMION;BOULEVARD GENERAL JOSE G. ARTIGAS entre AV. DEL MAR Y LOUVRE
02/08/2013 06:55;TACUAREMBO;DEPARTAMENTAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;39;M;0;;GENERAL MANUEL ORIBE esq. C. CATALOGNE
02/08/2013 14:02;SALTO;NACIONAL;CAIDA;MOTO;CONDUCTOR;19;M;0;;RAMAL entre RUTA 31 y RUTA 4, km 81,100
02/08/2013 19:01;MALDONADO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;59;M;0;AUTO;RUTA 39 km. 14,5
02/08/2013 19:50;CANELONES;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;54;F;1;AUTO;RUTA 8 km. 27
04/08/2013 07:52;CANELONES;NACIONAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;25;M;0;;RUTA 65 km. 84,500
05/08/2013 13:40;RIVERA;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;44;M;1;;CAMINO  A CURTICEIRAS 
06/08/2013 23:30;MONTEVIDEO;DEPARTAMENTAL;COLISION CON OBSTACULO;MOTO;CONDUCTOR;22;M;0;;CALDERON DE LA BARCA esq. MARGARITA --COLON--
07/08/2013 07:55;SAN JOSE;NACIONAL;DESPISTE;AUTO;CONDUCTOR;57;M;0;;RUTA 1 km. 50 
10/08/2013 09:30;TACUAREMBO;NACIONAL;DESPISTE;OMNIBUS;PASAJERO;40;F;0;;RUTA 5 km. 317,1
10/08/2013 09:30;TACUAREMBO;NACIONAL;DESPISTE;OMNIBUS;PASAJERO;73;F;0;;RUTA 5 km. 317,1
10/08/2013 09:30;TACUAREMBO;NACIONAL;DESPISTE;OMNIBUS;PASAJERO;1;F;0;;RUTA 5 km. 317,1
11/08/2013 12:05;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;54;F;0;MOTO;AVENIDA DOCTOR CARLOS NERY esq. JAEN
11/08/2013 20:23;CANELONES;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;78;M;1;AUTO;RUTA INTERBALNEARIA km. 68
12/08/2013 00:30;RIO NEGRO;DEPARTAMENTAL;DESPISTE;CAMIONETA;PASAJERO;2;M;0;;CAMINO DE LA CUCHILLA DE NAVARRO
12/08/2013 09:30;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;87;M;1;OMNIBUS;CAMINO CORRALES esq. AVENIDA DAMASO ANTONIO LARRAóAGA
